Experiment#,Subject#,phase#,block#,pair type#,accuracy#
Experiment 1 Delay After Phase 2,3048,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,1,1,unique,0.25
Experiment 1 Delay After Phase 2,3048,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3048,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3048,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,4,unique,1
Experiment 1 Delay After Phase 2,3048,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,5,unique,1
Experiment 1 Delay After Phase 2,3048,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,2,1,unique,1
Experiment 1 Delay After Phase 2,3048,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3048,2,2,unique,1
Experiment 1 Delay After Phase 2,3048,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,2,3,unique,1
Experiment 1 Delay After Phase 2,3048,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3048,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3048,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3048,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,2,unique,1
Experiment 1 Delay After Phase 2,3048,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,3,unique,1
Experiment 1 Delay After Phase 2,3048,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,4,unique,1
Experiment 1 Delay After Phase 2,3048,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,5,unique,1
Experiment 1 Delay After Phase 2,3050,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,3,unique,1
Experiment 1 Delay After Phase 2,3050,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3050,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3050,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3050,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3050,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,3,2,unique,1
Experiment 1 Delay After Phase 2,3050,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,3,3,unique,1
Experiment 1 Delay After Phase 2,3050,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,4,unique,0.5
Experiment 1 Delay After Phase 2,3050,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,5,unique,0.25
Experiment 1 Delay After Phase 2,3051,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3051,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3051,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3051,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,4,unique,1
Experiment 1 Delay After Phase 2,3051,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,1,5,unique,1
Experiment 1 Delay After Phase 2,3051,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3051,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3051,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,2,2,unique,0.25
Experiment 1 Delay After Phase 2,3051,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3051,2,3,unique,1
Experiment 1 Delay After Phase 2,3051,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,2,4,unique,1
Experiment 1 Delay After Phase 2,3051,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3051,2,5,unique,1
Experiment 1 Delay After Phase 2,3051,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3051,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,2,unique,1
Experiment 1 Delay After Phase 2,3051,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,3,unique,1
Experiment 1 Delay After Phase 2,3051,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3051,3,4,unique,1
Experiment 1 Delay After Phase 2,3051,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3051,3,5,unique,1
Experiment 1 Delay After Phase 2,3054,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3054,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,4,unique,0.25
Experiment 1 Delay After Phase 2,3054,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3054,1,5,unique,1
Experiment 1 Delay After Phase 2,3054,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3054,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3054,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,2,2,unique,1
Experiment 1 Delay After Phase 2,3054,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,3,unique,1
Experiment 1 Delay After Phase 2,3054,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,4,unique,1
Experiment 1 Delay After Phase 2,3054,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,5,unique,1
Experiment 1 Delay After Phase 2,3054,3,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3054,3,1,unique,0.5
Experiment 1 Delay After Phase 2,3054,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3054,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3054,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,3,3,unique,1
Experiment 1 Delay After Phase 2,3054,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3054,3,4,unique,1
