experimentt,subjectt,phasee,blockk,triall,pairtypee,accuracyy
Experiment 1 No Delay,3049,1,1,1,unique,0
Experiment 1 No Delay,3049,1,1,2,overlapping,1
Experiment 1 No Delay,3049,1,1,3,unique,0
Experiment 1 No Delay,3049,1,1,4,unique,1
Experiment 1 No Delay,3049,1,1,5,overlapping,1
Experiment 1 No Delay,3049,1,1,6,overlapping,1
Experiment 1 No Delay,3049,1,1,7,overlapping,1
Experiment 1 No Delay,3049,1,1,8,unique,1
Experiment 1 No Delay,3049,1,2,1,overlapping,1
Experiment 1 No Delay,3049,1,2,2,unique,1
Experiment 1 No Delay,3049,1,2,3,overlapping,1
Experiment 1 No Delay,3049,1,2,4,overlapping,1
Experiment 1 No Delay,3049,1,2,5,unique,1
Experiment 1 No Delay,3049,1,2,6,unique,0
Experiment 1 No Delay,3049,1,2,7,unique,1
Experiment 1 No Delay,3049,1,2,8,overlapping,1
Experiment 1 No Delay,3049,1,3,1,overlapping,1
Experiment 1 No Delay,3049,1,3,2,overlapping,1
Experiment 1 No Delay,3049,1,3,3,overlapping,1
Experiment 1 No Delay,3049,1,3,4,unique,1
Experiment 1 No Delay,3049,1,3,5,unique,1
Experiment 1 No Delay,3049,1,3,6,unique,1
Experiment 1 No Delay,3049,1,3,7,unique,1
Experiment 1 No Delay,3049,1,3,8,overlapping,1
Experiment 1 No Delay,3049,1,4,1,unique,1
Experiment 1 No Delay,3049,1,4,2,unique,1
Experiment 1 No Delay,3049,1,4,3,overlapping,1
Experiment 1 No Delay,3049,1,4,4,unique,1
Experiment 1 No Delay,3049,1,4,5,overlapping,1
Experiment 1 No Delay,3049,1,4,6,overlapping,1
Experiment 1 No Delay,3049,1,4,7,unique,1
Experiment 1 No Delay,3049,1,4,8,overlapping,1
Experiment 1 No Delay,3049,1,5,1,overlapping,1
Experiment 1 No Delay,3049,1,5,2,unique,1
Experiment 1 No Delay,3049,1,5,3,overlapping,1
Experiment 1 No Delay,3049,1,5,4,unique,1
Experiment 1 No Delay,3049,1,5,5,unique,1
Experiment 1 No Delay,3049,1,5,6,overlapping,1
Experiment 1 No Delay,3049,1,5,7,unique,1
Experiment 1 No Delay,3049,1,5,8,overlapping,1
Experiment 1 No Delay,3049,2,1,1,overlapping,0
Experiment 1 No Delay,3049,2,1,2,overlapping,1
Experiment 1 No Delay,3049,2,1,3,unique,1
Experiment 1 No Delay,3049,2,1,4,unique,1
Experiment 1 No Delay,3049,2,1,5,unique,1
Experiment 1 No Delay,3049,2,1,6,overlapping,1
Experiment 1 No Delay,3049,2,1,7,overlapping,1
Experiment 1 No Delay,3049,2,1,8,unique,1
Experiment 1 No Delay,3049,2,2,1,overlapping,1
Experiment 1 No Delay,3049,2,2,2,unique,1
