experiments,subjects,phases,blocks,pairtypes,accuracys
Experiment 1 No Delay,3049,1,1,overlapping,1
Experiment 1 No Delay,3049,1,1,unique,0.5
Experiment 1 No Delay,3049,1,2,overlapping,1
Experiment 1 No Delay,3049,1,2,unique,0.75
Experiment 1 No Delay,3049,1,3,overlapping,1
Experiment 1 No Delay,3049,1,3,unique,1
Experiment 1 No Delay,3049,1,4,overlapping,1
Experiment 1 No Delay,3049,1,4,unique,1
Experiment 1 No Delay,3049,1,5,overlapping,1
Experiment 1 No Delay,3049,1,5,unique,1
Experiment 1 No Delay,3049,2,1,overlapping,0.75
Experiment 1 No Delay,3049,2,1,unique,1
Experiment 1 No Delay,3049,2,2,overlapping,1
Experiment 1 No Delay,3049,2,2,unique,1
Experiment 1 No Delay,3049,2,3,overlapping,1
Experiment 1 No Delay,3049,2,3,unique,1
Experiment 1 No Delay,3049,2,4,overlapping,0.75
Experiment 1 No Delay,3049,2,4,unique,1
Experiment 1 No Delay,3049,2,5,overlapping,1
Experiment 1 No Delay,3049,2,5,unique,1
Experiment 1 No Delay,3049,3,1,overlapping,0.75
Experiment 1 No Delay,3049,3,1,unique,0.75
Experiment 1 No Delay,3049,3,2,overlapping,1
Experiment 1 No Delay,3049,3,2,unique,1
Experiment 1 No Delay,3049,3,3,overlapping,1
Experiment 1 No Delay,3049,3,3,unique,1
Experiment 1 No Delay,3049,3,4,overlapping,1
Experiment 1 No Delay,3049,3,4,unique,1
Experiment 1 No Delay,3049,3,5,overlapping,1
Experiment 1 No Delay,3049,3,5,unique,1
Experiment 1 No Delay,3052,1,1,overlapping,0.75
Experiment 1 No Delay,3052,1,1,unique,0.5
Experiment 1 No Delay,3052,1,2,overlapping,0.75
Experiment 1 No Delay,3052,1,2,unique,0.75
Experiment 1 No Delay,3052,1,3,overlapping,0.75
Experiment 1 No Delay,3052,1,3,unique,1
Experiment 1 No Delay,3052,1,4,overlapping,0.5
Experiment 1 No Delay,3052,1,4,unique,0.5
Experiment 1 No Delay,3052,1,5,overlapping,1
Experiment 1 No Delay,3052,1,5,unique,0.75
Experiment 1 No Delay,3052,2,1,overlapping,0.5
Experiment 1 No Delay,3052,2,1,unique,0.75
Experiment 1 No Delay,3052,2,2,overlapping,0.75
Experiment 1 No Delay,3052,2,2,unique,1
Experiment 1 No Delay,3052,2,3,overlapping,0.75
